App Package,Status,Publishing Country,TCF Version,CMP,Date Downloaded
com.tv4nyheterna,Has TCF,-,2.2,28,2025-02-04
com.prenly.bonniernewslifestyle,Has TCF,-,-,7,2025-02-04
com.cisana.guidatv.se,Has TCF,-,2.2,300,2025-02-04
com.flightradar24free,Has TCF,-,2.2,28,2025-02-05
com.appgame.phone.number.locator.by.number,Has TCF,-,-,300,2025-02-05
com.wachanga.pregnancy,Has TCF,-,-,300,2025-02-05
com.antonio.family.locator.phone.tracker,Has TCF,-,-,300,2025-02-05
com.orange.magic.board.doodle.coloring,Has TCF,-,-,No CMP Found,2025-02-05
com.drillyapps.babydaybook,Has TCF,-,-,300,2025-02-05
com.babycenter.pregnancytracker,Has TCF,-,2.2,28,2025-02-05
com.babytiger.babydomisong.a,Has TCF,-,-,No CMP Found,2025-02-05
com.ottplay.ottplay,Has TCF,-,-,300,2025-02-06
com.dic_o.dico_eng_fra,Has TCF,-,2.2,300,2025-02-06
com.appgame.free.books.read.free.books,Has TCF,-,-,300,2025-02-06
com.embria.freefm,Has TCF,-,2.2,300,2025-02-06
com.qidian.Int.reader,Has TCF,-,-,7,2025-02-06
com.mobisystems.msdict.embedded.wireless.oxford.dictionaryofenglish,Has TCF,-,-,300,2025-02-06
com.videodownloader.snap.originalapktube,Has TCF,-,2.2,300,2025-02-10
com.utorrent.client,Has TCF,-,2.2,7,2025-02-10
com.mobsmile.paintflag,Has TCF,-,-,300,2025-02-10
com.bpmobile.iscanner.free,Has TCF,-,-,300,2025-02-11
com.afgame.app.poolball,Has TCF,-,2.2,300,2025-02-11
com.mgc.runnergame,Has TCF,-,2.2,5,2025-02-11
com.ea.gp.nbamobile,Has TCF,-,-,300,2025-02-11
com.daerisoft.thespikerm,Has TCF,-,-,300,2025-02-12
com.xgamesgroup.puzzleisland,Has TCF,-,-,7,2025-02-12
com.eyesthegame.eyes,Has TCF,-,2.2,300,2025-02-12
com.cscmobi.cookingmarina,Has TCF,-,-,300,2025-02-12
com.crazylabs.hotel.transylvania.adventure,Has TCF,-,2.2,300,2025-02-12
com.escape.adventure.scary2,Has TCF,-,2.2,300,2025-02-12
com.applewatch.connect,Has TCF,-,2.2,300,2025-02-12
com.RemoteControl.AppleTv,Has TCF,-,2.2,300,2025-02-12
com.playrix.township,Has TCF,-,2.2,5,2025-02-13
com.outfit7.mytalkingangelafree,Has TCF,-,2.2,348,2025-02-13
com.prison.run.master.survival.challenge,Has TCF,-,-,300,2025-02-13
com.screw.away.pin.puzzle.and,Has TCF,-,2.2,300,2025-02-13
com.outfit7.talkingtom,Has TCF,-,-,348,2025-02-13
com.fashion.blast.beauty.story.makeover.puzzle,Has TCF,-,-,300,2025-02-13
com.outfit7.talkingtomgoldrun,Has TCF,-,2.2,348,2025-02-13
com.barsstudios.swordplay,Has TCF,-,2.2,5,2025-02-13
com.ig.spider.fighting,Has TCF,-,-,300,2025-02-13
com.gameloft.android.ANMP.GloftDMHM,Has TCF,-,2.2,7,2025-02-14
com.free.nurse.rush.clinic,Has TCF,-,-,300,2025-02-14
com.orange.kidspiano.music.songs,Has TCF,-,-,No CMP Found,2025-02-17
com.gfarm.constructiontruck,Has TCF,-,-,300,2025-02-17
com.fabulousfun.babysitterdaycare,Has TCF,-,2.2,300,2025-02-17
com.AzonGroup.VladNiki,Has TCF,-,-,No CMP Found,2025-02-17
com.baramgames.coloringhouses,Has TCF,-,2.2,300,2025-02-17
com.orange.coloring.learn.kids.animals,Has TCF,-,-,No CMP Found,2025-02-17
com.orange.gamesforkids.coloring.princess,Has TCF,-,-,No CMP Found,2025-02-17
com.raptor.evolution,Has TCF,-,2.2,300,2025-02-17
com.dlitegames.terminalmaster,Has TCF,-,2.2,300,2025-02-17
com.crazylabs.monster.high,Has TCF,-,2.2,300,2025-02-17
com.piggy.panda.cake.maker.games,Has TCF,-,-,No CMP Found,2025-02-17
com.hyper.hundredmysterybuttons,Has TCF,-,2.2,300,2025-02-17
com.h8games.littlefarmstory,Has TCF,-,2.2,300,2025-02-17
com.ag.fashion.catwalk.show,Has TCF,-,-,300,2025-02-17
com.foxnextgames.m3,Has TCF,-,-,5,2025-02-17
com.smartfunapps.crazyhospital,Has TCF,-,-,300,2025-02-17
com.nekki.shadowfight3,Has TCF,-,-,300,2025-02-17
com.firststep.alphabats,Has TCF,-,-,300,2025-02-17
com.gamesforkids.toddlers.baby.games.girls.learning.coloring.easy,Has TCF,-,-,300,2025-02-17
com.boys.drawing.coloring.games,Has TCF,-,-,No CMP Found,2025-02-17
com.gamepark.cop.simulator.police.games,Has TCF,-,-,300,2025-02-18
com.vjsjlqvlmp.wearewarriors,Has TCF,-,2.2,5,2025-02-18
com.gp.lion.games.animal.sim,Has TCF,-,-,300,2025-02-18
com.rapidfiregames.backpackbrawl,Has TCF,-,2.2,5,2025-02-18
com.catchy.tools.funny.camera,Has TCF,-,2.2,300,2025-02-18
com.cerdillac.persetforlightroom,Has TCF,-,2.2,300,2025-02-18
com.tastydiary.cooking.diner.home.restaurant,Has TCF,-,2.2,300,2025-02-19
com.gonext.gpsphotolocation,Has TCF,-,2.2,300,2025-02-20
com.wnba.centercourt,Has TCF,-,2.2,28,2025-02-20
com.jrustonapps.myauroraforecast,Has TCF,-,2.2,300,2025-02-20
com.universetoday.moon.free,Has TCF,-,2.2,5,2025-02-20
com.bvl.weatherapp,Has TCF,-,2.2,300,2025-02-20
com.quick.video.hot.downloader,Has TCF,-,2.2,300,2025-02-20
com.fapp.translate.language.translator.fasttranslation,Has TCF,-,2.2,300,2025-02-20
com.muslimprayer.qiblafinder.qiblacompass,Has TCF,-,2.2,300,2025-02-20
com.airmirroring.airplay,Has TCF,-,2.2,300,2025-02-20
com.gonoodle.gonoodle,Has TCF,-,-,28,2025-02-20
com.bpd.bloodpressure.dairy,Has TCF,-,2.2,300,2025-02-20
com.westfield.one,Has TCF,-,-,28,2025-02-20
com.ultisw.videoplayer,Has TCF,-,2.2,300,2025-03-03
com.YovoGames.paintinganimals,Has TCF,-,-,300,2025-03-04
com.hypermonkgames.Dyno2RaceCarTuning,Has TCF,-,-,300,2025-03-06
com.gamesforkids.puzzles.free.toddlers.learning.jigsaw.preschool.games.girls.boys.elepant,Has TCF,-,-,300,2025-03-10
com.accarunit.motionvideoeditor,Has TCF,-,2.2,300,2025-03-10
com.baramfze.funcoloring,Has TCF,-,2.2,300,2025-03-10
com.vpn.euvpn,Has TCF,-,2.2,300,2025-03-10
com.cem.ardrawing.sketch,Has TCF,-,2.2,300,2025-03-10
com.real.gangster.crime.city.vegas,Has TCF,-,2.2,300,2025-03-10
com.dreamtap.cookingcenter.free,Has TCF,-,2.2,300,2025-03-11
com.SekGames.MyDreamHospital,Has TCF,-,2.2,300,2025-02-18
com.fidgettrading.game,Has TCF,-,-,300,2025-02-18
com.outloud.idlefrog,Has TCF,-,2.2,300,2025-02-18
com.ction.playergames,Has TCF,-,2.2,300,2025-02-18
com.kingsfortune.happydinerstory,Has TCF,-,-,300,2025-02-18
com.kiwigames.sushi.simulator,Has TCF,-,2.2,300,2025-02-18
com.wallpaperscraft.wallpaperscraft_parallax,Has TCF,-,2.2,300,2025-02-18
com.BinaryCores.A145G,Has TCF,-,2.2,300,2025-02-18
com.atlantis.launcher,Has TCF,-,2.2,300,2025-02-18
com.glitter.wallpapers.sparkling,Has TCF,-,2.2,300,2025-02-18
com.lw.hitechcircuit.launcher,Has TCF,-,2.2,300,2025-02-18
com.ktwapps.speedometer,Has TCF,-,2.2,300,2025-02-19
com.live.earthmap.streetview.livecam,Has TCF,-,2.2,300,2025-02-19
com.freevpnplanet,Has TCF,-,2.2,300,2025-02-19
com.coffeebeanventures.easyvoicerecorder,Has TCF,-,2.2,300,2025-02-19
com.splendapps.decibel,Has TCF,-,-,300,2025-02-19
com.media.music.mp3.musicplayer,Has TCF,-,2.2,300,2025-02-19
com.musicplayer.playermusic,Has TCF,-,2.2,300,2025-02-19
com.topultragame.slotlasvega,Has TCF,-,-,300,2025-02-19
com.kamagames.roulettist,Has TCF,-,2.2,7,2025-02-19
com.transsion.phoenix,Has TCF,-,2.2,300,2025-02-19
com.harvest.android.gr,Has TCF,-,-,300,2025-03-11
com.prd.pdf.document,Has TCF,-,-,300,2025-03-11
com.diamond.world.skyland.vip.building.sword.craft,Has TCF,-,2.2,300,2025-03-11
com.quickemail.quicklogin.emailonline,Has TCF,-,2.2,300,2025-03-11
com.internetdesignzone.cookingforkids,Has TCF,-,-,300,2025-03-11
com.vonlegohufvud.texttvsv,Removed (Not TCF),-,-,-,2025-02-04
com.readly.client,Removed (Not TCF),-,-,-,2025-02-04
com.newspaperdirect.pressreader.android,Removed (Not TCF),-,-,-,2025-02-04
com.prenly.folkvett,Removed (Not TCF),-,-,-,2025-02-04
com.quora.android,Removed (Not TCF),-,-,-,2025-02-04
com.microsoft.amp.apps.bingnews,Removed (Not TCF),-,-,-,2025-02-04
com.checkitt,Removed (Not TCF),-,-,-,2025-02-04
com.zumobi.msnbc,Removed (Not TCF),-,-,-,2025-02-04
com.nytimes.android,Removed (Not TCF),-,-,-,2025-02-04
com.haystack.android,Removed (Not TCF),-,-,-,2025-02-04
com.medium.reader,Removed (Not TCF),-,-,-,2025-02-04
com.sony.nfx.app.sfrc,Removed (Not TCF),-,-,-,2025-02-04
com.devhd.feedly,Removed (Not TCF),-,-,-,2025-02-04
com.dwarfplanet.bundle,Removed (Not TCF),-,-,-,2025-02-04
com.epaper.thehindu.android,Removed (Not TCF),-,-,-,2025-02-04
com.epi,Removed (Not TCF),-,-,-,2025-02-04
com.fli.android.newsmaxapp,Removed (Not TCF),-,-,-,2025-02-04
com.ft.news,Removed (Not TCF),-,-,-,2025-02-04
com.globo.g1.app,Removed (Not TCF),-,-,-,2025-02-04
com.ideashower.readitlater.pro,Removed (Not TCF),-,-,-,2025-02-04
com.podcast.podcasts,Removed (Not TCF),-,-,-,2025-02-04
com.nis.app,Removed (Not TCF),-,-,-,2025-02-04
com.disappster.skyalert,Removed (Not TCF),-,-,-,2025-02-04
com.htmedia.mint,Removed (Not TCF),-,-,-,2025-02-04
com.kddi.pass.launcher,Removed (Not TCF),-,-,-,2025-02-04
com.instagram.android,Removed (Not TCF),-,-,-,2025-02-04
com.snapchat.android,Removed (Not TCF),-,-,-,2025-02-04
com.zhiliaoapp.musically,Removed (Not TCF),-,-,-,2025-02-04
com.whatsapp,Removed (Not TCF),-,-,-,2025-02-04
com.einnovation.temu,Removed (Not TCF),-,-,-,2025-02-04
com.facebook.orca,Removed (Not TCF),-,-,-,2025-02-04
com.spotify.music,Removed (Not TCF),-,-,-,2025-02-04
com.reddit.frontpage,Removed (Not TCF),-,-,-,2025-02-04
com.instagram.barcelona,Removed (Not TCF),-,-,-,2025-02-04
com.google.android.apps.walletnfcrel,Removed (Not TCF),-,-,-,2025-02-04
com.microsoft.teams,Removed (Not TCF),-,-,-,2025-02-04
com.twitter.android,Removed (Not TCF),-,-,-,2025-02-04
com.kivra.Kivra,Removed (Not TCF),-,-,-,2025-02-04
com.discord,Removed (Not TCF),-,-,-,2025-02-04
com.azure.authenticator,Removed (Not TCF),-,-,-,2025-02-04
com.google.android.apps.chromecast.app,Removed (Not TCF),-,-,-,2025-02-04
com.linkedin.android,Removed (Not TCF),-,-,-,2025-02-04
com.microsoft.intune,Removed (Not TCF),-,-,-,2025-02-04
com.whatsapp.w4b,Removed (Not TCF),-,-,-,2025-02-04
com.hm.goe,Removed (Not TCF),-,-,-,2025-02-04
com.microsoft.windowsintune.companyportal,Removed (Not TCF),-,-,-,2025-02-04
com.microsoft.office.excel,Removed (Not TCF),-,-,-,2025-02-04
com.indeed.android.jobsearch,Removed (Not TCF),-,-,-,2025-02-04
com.microsoft.office.onenote,Removed (Not TCF),-,-,-,2025-02-04
com.microsoft.office.powerpoint,Removed (Not TCF),-,-,-,2025-02-04
com.google.android.apps.dynamite,Removed (Not TCF),-,-,-,2025-02-04
com.adobe.scan.android,Removed (Not TCF),-,-,-,2025-02-04
com.microsoft.sharepoint,Removed (Not TCF),-,-,-,2025-02-04
com.pinterest,Removed (Not TCF),-,-,-,2025-02-04
com.ss.android.tt.creator,Removed (Not TCF),-,-,-,2025-02-04
com.newsclapper.video,Removed (Not TCF),-,-,-,2025-02-04
com.zhiliao.musically.livewallpaper,Removed (Not TCF),-,-,-,2025-02-04
com.samsung.ecomm.global.gbr,Removed (Not TCF),-,-,-,2025-02-04
com.newreading.goodreels,Removed (Not TCF),-,-,-,2025-02-04
com.google.android.apps.magazines,Removed (Not TCF),-,-,-,2025-02-05
com.sgiggle.production,Removed (Not TCF),-,-,-,2025-02-05
com.facebook.videodownload.videodownloaderforfacebook,Removed (Not TCF),-,-,-,2025-02-05
com.facebook.katana,Removed (Not TCF),-,-,-,2025-02-05
com.xingin.xhs,Removed (Not TCF),-,-,-,2025-02-05
com.scee.psxandroid,Removed (Not TCF),-,-,-,2025-02-05
com.facebook.lite,Removed (Not TCF),-,-,-,2025-02-05
