App Package,App Name,App Category,Date Scraped
com.vonlegohufvud.texttvsv,"TextTV - Svensk text-tv, SVT",NEWS_AND_MAGAZINES,2025-01-29
com.tv4nyheterna,TV4 Nyheterna,NEWS_AND_MAGAZINES,2025-01-29
com.readly.client,Readly Magazines & Newspapers,NEWS_AND_MAGAZINES,2025-01-29
com.prenly.bonniernewslifestyle,Arcy,NEWS_AND_MAGAZINES,2025-01-29
com.newspaperdirect.pressreader.android,PressReader: News & Magazines,NEWS_AND_MAGAZINES,2025-01-29
com.podcast.podcasts,Podcast Player,NEWS_AND_MAGAZINES,2025-01-29
com.prenly.folkvett,Folkvett,NEWS_AND_MAGAZINES,2025-01-29
com.quora.android,Quora: the knowledge platform,NEWS_AND_MAGAZINES,2025-01-29
com.iart.chromecastapps,Apps 4 Chromecast & Android TV,NEWS_AND_MAGAZINES,2025-01-29
com.microsoft.amp.apps.bingnews,MSN,NEWS_AND_MAGAZINES,2025-01-29
com.cisana.guidatv.se,TV listings SE - Cisana TV+,NEWS_AND_MAGAZINES,2025-01-29
com.news.app.global,Breaking News - Live Headlines,NEWS_AND_MAGAZINES,2025-01-29
com.checkitt,Ground News,NEWS_AND_MAGAZINES,2025-01-29
com.ottplay.ottplay,Televizo - IPTV player,VIDEO_PLAYERS,2025-01-29
com.bloomberg.btva,Bloomberg,NEWS_AND_MAGAZINES,2025-01-29
com.zumobi.msnbc,NBC News: Breaking News & Live,NEWS_AND_MAGAZINES,2025-01-29
com.bluepill.policenews,Polishändelser,NEWS_AND_MAGAZINES,2025-01-29
com.nytimes.android,The New York Times: Live News,NEWS_AND_MAGAZINES,2025-01-29
com.google.android.apps.magazines,Google News - Daily Headlines,NEWS_AND_MAGAZINES,2025-01-29
com.haystack.android,Haystack News: Local TV News,NEWS_AND_MAGAZINES,2025-01-29
com.cnn.mobile.android.phone,CNN: Breaking US & World News,NEWS_AND_MAGAZINES,2025-01-29
com.cbsnews.ott,CBS News - Live Breaking News,NEWS_AND_MAGAZINES,2025-01-29
com.medium.reader,Medium,NEWS_AND_MAGAZINES,2025-01-29
com.aftonbladet.sportbladet,Sportbladet - störst på sport,NEWS_AND_MAGAZINES,2025-01-29
com.sony.nfx.app.sfrc,News Suite by Sony,NEWS_AND_MAGAZINES,2025-01-29
com.ak.ta.dainikbhaskar.activity,Hindi News by Dainik Bhaskar,NEWS_AND_MAGAZINES,2025-01-29
com.ak.ta.divya.bhaskar.activity,Gujarati News by Divya Bhaskar,NEWS_AND_MAGAZINES,2025-01-29
com.beloud,Beloud: News & Free Speech,NEWS_AND_MAGAZINES,2025-01-29
com.bloomberg.android.plus,Bloomberg: Finance Market News,NEWS_AND_MAGAZINES,2025-01-29
com.bskyb.skynews.android,"Sky News: Breaking, UK & World",NEWS_AND_MAGAZINES,2025-01-29
com.devhd.feedly,Feedly - Smarter News Reader,NEWS_AND_MAGAZINES,2025-01-29
com.dwarfplanet.bundle,Bundle Breaking News,NEWS_AND_MAGAZINES,2025-01-29
com.epaper.thehindu.android,The Hindu ePaper: eNewspaper,NEWS_AND_MAGAZINES,2025-01-29
com.epi,Báo Mới - Tin mới 24h,NEWS_AND_MAGAZINES,2025-01-29
com.fli.android.newsmaxapp,Newsmax,NEWS_AND_MAGAZINES,2025-01-29
com.ft.news,Financial Times: Business News,NEWS_AND_MAGAZINES,2025-01-29
com.globo.g1.app,G1 Portal de Notícias da Globo,NEWS_AND_MAGAZINES,2025-01-29
com.ideashower.readitlater.pro,Pocket: Save. Read. Grow.,NEWS_AND_MAGAZINES,2025-01-29
com.nis.app,Inshorts - News in 60 words,NEWS_AND_MAGAZINES,2025-01-29
com.opera.app.news,Opera News: breaking & local,NEWS_AND_MAGAZINES,2025-01-29
com.thomsonreuters.reuters,Reuters News,NEWS_AND_MAGAZINES,2025-01-29
com.disappster.skyalert,SkyAlert: Alerta Sísmica,NEWS_AND_MAGAZINES,2025-01-29
com.guardian,The Guardian - News & Sport,NEWS_AND_MAGAZINES,2025-01-29
com.hindi.jagran.android.activity,Jagran Hindi News & Epaper App,NEWS_AND_MAGAZINES,2025-01-29
com.htmedia.mint,Mint: Stock & Business News,NEWS_AND_MAGAZINES,2025-01-29
com.kddi.pass.launcher,auサービスToday,NEWS_AND_MAGAZINES,2025-01-29
com.lemonde.androidapp,"Le Monde, Live News",NEWS_AND_MAGAZINES,2025-01-29
com.mediapart.app,"Mediapart, journal indépendant",NEWS_AND_MAGAZINES,2025-01-29
com.bandlab.bandlab,BandLab – Music Making Studio,APPLICATION,2025-01-29
com.instagram.android,Instagram,APPLICATION,2025-01-29
com.snapchat.android,Snapchat,APPLICATION,2025-01-29
com.zhiliaoapp.musically,TikTok,APPLICATION,2025-01-29
com.whatsapp,WhatsApp Messenger,APPLICATION,2025-01-29
com.einnovation.temu,Temu: Shop Like a Billionaire,APPLICATION,2025-01-29
com.facebook.orca,Messenger,APPLICATION,2025-01-29
com.spotify.music,Spotify: Music and Podcasts,APPLICATION,2025-01-29
com.reddit.frontpage,Reddit,APPLICATION,2025-01-29
com.instagram.barcelona,Threads,APPLICATION,2025-01-29
com.google.android.apps.walletnfcrel,Google Wallet,APPLICATION,2025-01-29
com.microsoft.teams,Microsoft Teams,APPLICATION,2025-01-29
com.myklarnamobile,Klarna | Shop now. Pay later.,APPLICATION,2025-01-29
com.twitter.android,X,APPLICATION,2025-01-29
com.kivra.Kivra,Kivra,APPLICATION,2025-01-29
com.discord,"Discord - Talk, Play, Hang Out",APPLICATION,2025-01-29
com.azure.authenticator,Microsoft Authenticator,APPLICATION,2025-01-29
com.google.android.apps.chromecast.app,Google Home,APPLICATION,2025-01-29
com.revolut.revolut,Revolut - Mobile Finance,APPLICATION,2025-01-29
com.linkedin.android,LinkedIn: Jobs & Business News,APPLICATION,2025-01-29
com.microsoft.intune,Microsoft Intune,APPLICATION,2025-01-29
com.whatsapp.w4b,WhatsApp Business,APPLICATION,2025-01-29
com.hm.goe,H&M - we love fashion,APPLICATION,2025-01-29
