App Package,Request,URL,PD,Analysis,Date,HTTP Status Code
com.easybrain.number.puzzle.game,GET from URL: "gps_adid":"60e5d787-7b10-4341-8289-a784280e7f1f",https://app.adjust.com/attribution,AAID,All,2025-05-09,400
com.smartwidgetlabs.philipshue,POST from URL: "idfa":"60e5d787-7b10-4341-8289-a784280e7f1f",https://aax-eu.amazon-adsystem.com/s/api3/generate_did,AAID,All,2025-05-09,200
com.yoyogames.anime.star.princess.doll.dressupgames,GET from URL: "device_aaid":"60e5d787-7b10-4341-8289-a784280e7f1f",https://api.tradplusad.com/api/v1_2/open,AAID,All,2025-05-10,200
com.zbs.designshow.android,GET from URL: "gaid":"60e5d787-7b10-4341-8289-a784280e7f1f",https://check.rayjump.com/setting,AAID,Nothing,2025-05-10,200
com.bestringtonesapps.freeringtonesforandroid,GET from URL: "advertiser_id":"60e5d787-7b10-4341-8289-a784280e7f1f",https://graph.facebook.com/v16.0/app,AAID,Nothing,2025-05-11,200
com.tunecho.music,POST from payload: "gps_adid":"60e5d787-7b10-4341-8289-a784280e7f1f",https://app.adjust.com/sdk_click,AAID,Nothing,2025-05-11,200
com.mystery.hidden.objects.find.clue.puzzle.games.free,POST from URL: "ty":"60e5d787-7b10-4341-8289-a784280e7f1f",https://ad2.fivecdm.com/v1/ad,AAID,LI,2025-05-13,200
com.rhythm.rush.piano.music.tile.song.games.guitar.tiles,GET from URL: "deviceId":"60e5d787-7b10-4341-8289-a784280e7f1f",https://game.bphfive.com/google/product/oneTime,AAID,LI,2025-05-13,200
com.pdfview.finder,GET from URL: "advertising_id":"60e5d787-7b10-4341-8289-a784280e7f1f",https://impression.appsflyer.com/com.qidian.Int.reader,AAID,LI,2025-05-14,200
com.pdfview.finder,GET from URL: "af_ip":"OUR_PUBLIC_IP",https://impression.appsflyer.com/com.qidian.Int.reader,public_IP,LI,2025-05-14,200
com.inforcegames.blackdeck,GET from URL: "idfa":"60e5d787-7b10-4341-8289-a784280e7f1f",https://live.saygames.io/live/ping,AAID,Nothing,2025-05-17,200
com.robtopx.geometryjumplite,POST from payload: "no_key_found (protobuf)":"60e5d787-7b10-4341-8289-a784280e7f1f",https://api.bidmachine.io/auction/init,AAID,All,2025-04-10,200
com.embria.freefm,POST from payload: "no_key_found (protobuf)":"60e5d787-7b10-4341-8289-a784280e7f1f",https://api.bidmachine.io/auction/init,AAID,Nothing,2025-05-02,200
com.easybrain.make.music,POST from payload: "advertising_id":"60e5d787-7b10-4341-8289-a784280e7f1f",https://cfg.easybrain.com/api/v1/init,AAID,All,2025-04-10,304
com.easybrain.find.the.difference,POST from payload: "gps_adid":"60e5d787-7b10-4341-8289-a784280e7f1f",https://app.adjust.com/third_party_sharing,AAID,All,2025-04-11,202
