App Package,Request,URL,PD,Analysis,Date,Status Code
com.cscmobi.clapfindphone.whistlefindphone,GET from URL: gaid:60e5d787-7b10-4341-8289-a784280e7f1f,https://configure.rayjump.com/setting,AAID,Nothing,2025-05-18,200
com.inapp.incolor,POST from payload: no_key_found (protobuf):60e5d787-7b10-4341-8289-a784280e7f1f,https://api.bidmachine.io/auction/init,AAID,Nothing,2025-05-18,200
com.inapp.incolor,GET from URL: gaid:60e5d787-7b10-4341-8289-a784280e7f1f,https://configure.rayjump.com/setting,AAID,Nothing,2025-05-18,200
com.cscmobi.plantidentifier.treeidentifier,GET from URL: gaid:60e5d787-7b10-4341-8289-a784280e7f1f,https://configure.rayjump.com/setting,AAID,Nothing,2025-05-18,200
com.train.king.tycoon.transport.simulator,POST from payload: advertisingId\:60e5d787-7b10-4341-8289-a784280e7f1f,https://o-sdk.mediation.unity3d.com/mediation,AAID,Nothing,2025-05-18,200
com.train.king.tycoon.transport.simulator,POST from payload: unifiedconfig.pii.advertisingTrackingId:60e5d787-7b10-4341-8289-a784280e7f1f,https://configv2.unityads.unity3d.com/webview/4.13.1/release/config.json,AAID,Nothing,2025-05-18,200
com.filerecovery.allrecovery.photovideorecovery.recoverdeletedfilesphotovideo,GET from URL: gaid:60e5d787-7b10-4341-8289-a784280e7f1f,https://configure.rayjump.com/setting,AAID,Nothing,2025-05-18,200
com.easybrain.art.puzzle,POST from payload: advertising_id:60e5d787-7b10-4341-8289-a784280e7f1f,https://cfg.easybrain.com/api/v1/init,AAID,Dialog Interaction,2025-05-15,200
com.easybrain.art.puzzle,POST from payload: advertising_id:60e5d787-7b10-4341-8289-a784280e7f1f,https://cross-promo-provider.easybrain.com/api/v2/config,AAID,Dialog Interaction,2025-05-15,200
com.easybrain.art.puzzle,POST from payload: GPID:60e5d787-7b10-4341-8289-a784280e7f1f,https://ads.inmobi.com/sdk,AAID,LI,2025-05-15,200
com.easybrain.art.puzzle,POST from payload: GPID:60e5d787-7b10-4341-8289-a784280e7f1f,https://ads.inmobi.com/sdk,AAID,LI,2025-05-15,204
com.easybrain.art.puzzle,POST from payload: no_key_found (protobuf):60e5d787-7b10-4341-8289-a784280e7f1f,https://api-eu.bidmachine.io/auction/rtb/v3,AAID,LI,2025-05-15,200
com.easybrain.art.puzzle,GET from URL: gid:60e5d787-7b10-4341-8289-a784280e7f1f,https://api.pubnative.net/api/v3/native,AAID,LI,2025-05-15,200
com.boombitgames.ArcheryClubTournament,POST from payload: advertising_id:60e5d787-7b10-4341-8289-a784280e7f1f,https://connect.tapjoy.com/api/connect/v3.json,AAID,Dialog Interaction,2025-05-15,200
com.boombitgames.ArcheryClubTournament,POST from payload: idfa:60e5d787-7b10-4341-8289-a784280e7f1f,https://rpc.tapjoy.com/api/v1/cevs,AAID,Dialog Interaction,2025-05-15,200
com.boombitgames.ArcheryClubTournament,POST from payload: unifiedconfig.pii.advertisingTrackingId:60e5d787-7b10-4341-8289-a784280e7f1f,https://configv2.unityads.unity3d.com/webview/4.12.3/release/config.json,AAID,Dialog Interaction,2025-05-15,200
com.boombitgames.ArcheryClubTournament,POST from payload: advertisingId:60e5d787-7b10-4341-8289-a784280e7f1f,https://httpkafka.unityads.unity3d.com/v1/events,AAID,Dialog Interaction,2025-05-15,200
com.boombitgames.ArcheryClubTournament,POST from payload: advertisingId:60e5d787-7b10-4341-8289-a784280e7f1f,https://httpkafka.unityads.unity3d.com/v1/events,AAID,LI,2025-05-15,200
com.boombitgames.ArcheryClubTournament,POST from payload: advertiser_id:60e5d787-7b10-4341-8289-a784280e7f1f,https://graph.facebook.com/v16.0/316363178696858/activities,AAID,LI,2025-05-15,200
com.billiards.city.pool.nation.club,POST from payload: advertiser_id:60e5d787-7b10-4341-8289-a784280e7f1f,https://graph.facebook.com/v6.0/263588237438610/activities,AAID,Dialog Interaction,2025-05-15,200
com.rockbite.zombieoutpost,POST from payload: no_key_found (protobuf):60e5d787-7b10-4341-8289-a784280e7f1f,https://api.bidmachine.io/auction/init,AAID,LI,2025-05-15,200
com.rockbite.zombieoutpost,GET from URL: gaid:60e5d787-7b10-4341-8289-a784280e7f1f,https://configure.rayjump.com/setting,AAID,LI,2025-05-15,200
com.stratospheregames.miniciv,POST from payload: advertisingId\:60e5d787-7b10-4341-8289-a784280e7f1f,https://o-sdk.mediation.unity3d.com/mediation,AAID,Dialog Interaction,2025-05-15,200
com.stratospheregames.miniciv,POST from payload: unifiedconfig.pii.advertisingTrackingId:60e5d787-7b10-4341-8289-a784280e7f1f,https://configv2.unityads.unity3d.com/webview/4.14.1/release/config.json,AAID,Dialog Interaction,2025-05-15,200
com.stratospheregames.miniciv,POST from payload: advertisingId\:60e5d787-7b10-4341-8289-a784280e7f1f,https://o-sdk.mediation.unity3d.com/mediation,AAID,LI,2025-05-15,200
com.stratospheregames.miniciv,POST from payload: unifiedconfig.pii.advertisingTrackingId:60e5d787-7b10-4341-8289-a784280e7f1f,https://configv2.unityads.unity3d.com/webview/4.14.1/release/config.json,AAID,LI,2025-05-15,200
com.omnewgentechnologies.vottak,GET from URL: gaid:60e5d787-7b10-4341-8289-a784280e7f1f,https://configure.rayjump.com/setting,AAID,Dialog Interaction,2025-05-15,200
com.omnewgentechnologies.vottak,POST from payload: gps_adid:60e5d787-7b10-4341-8289-a784280e7f1f,https://app.adjust.com/session,AAID,Dialog Interaction,2025-05-15,200
com.omnewgentechnologies.vottak,POST from payload: gps_adid:60e5d787-7b10-4341-8289-a784280e7f1f,https://app.adjust.com/sdk_click,AAID,Dialog Interaction,2025-05-15,200
com.omnewgentechnologies.vottak,GET from URL: gps_adid:60e5d787-7b10-4341-8289-a784280e7f1f,https://app.adjust.com/attribution,AAID,LI,2025-05-15,200
com.omnewgentechnologies.vottak,POST from payload: advertisingId:60e5d787-7b10-4341-8289-a784280e7f1f,https://o-sdk.mediation.unity3d.com/mediation,AAID,LI,2025-05-15,200
com.videomedia.photovideomaker.slideshow,GET from URL: gaid:60e5d787-7b10-4341-8289-a784280e7f1f,https://configure.rayjump.com/setting,AAID,LI,2025-05-15,200
com.clappy.millionairetrivia,GET from URL: gps_adid:60e5d787-7b10-4341-8289-a784280e7f1f,https://app.adjust.com/attribution,AAID,Dialog Interaction,2025-05-15,200
com.clappy.millionairetrivia,POST from payload: advertiser_id:60e5d787-7b10-4341-8289-a784280e7f1f,https://graph.facebook.com/v16.0/1320139152355813/activities,AAID,Dialog Interaction,2025-05-15,200
com.clappy.millionairetrivia,PATCH from payload: ip_v4_address:OUR_PUBLIC_IP,https://api.adapty.io/api/v1/sdk/analytics/profiles/5c81aa79-b4f9-4f97-a117-f9ee5f8d3bcd/,public_IP,Dialog Interaction,2025-05-15,200
com.asmolgam.flags,POST from payload: adid:60e5d787-7b10-4341-8289-a784280e7f1f,https://fundingchoicesmessages.google.com/a/consent,AAID,Dialog Interaction,2025-05-15,200
com.qbis.guessthecountry,POST from payload: adid:60e5d787-7b10-4341-8289-a784280e7f1f,https://fundingchoicesmessages.google.com/a/consent,AAID,Dialog Interaction,2025-05-15,200
com.mystery.hidden.objects.find.clue.puzzle.games.free,GET from URL: gps_adid:60e5d787-7b10-4341-8289-a784280e7f1f,https://app.adjust.com/attribution,AAID,Dialog Interaction,2025-05-15,200
com.mystery.hidden.objects.find.clue.puzzle.games.free,GET from URL: gaid:60e5d787-7b10-4341-8289-a784280e7f1f,https://configure.rayjump.com/setting,AAID,Dialog Interaction,2025-05-15,200
com.mystery.hidden.objects.find.clue.puzzle.games.free,POST from URL: ty:60e5d787-7b10-4341-8289-a784280e7f1f,https://ad2.fivecdm.com/v1/ad,AAID,Dialog Interaction,2025-05-15,200
com.mystery.hidden.objects.find.clue.puzzle.games.free,POST from payload: gps_adid:60e5d787-7b10-4341-8289-a784280e7f1f,https://app.adjust.com/ad_revenue,AAID,LI,2025-05-15,200
